I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -78, -39, 58, 0, -58, -9, -102, -107, -117, -107, -78, 
-34, -68, -34, 51, 0, -51, -14, -97, -107, -107, -102, -78, 
-34, -68, -34, 51, 0, -51, -4, -102, -107, -112, -107, -82, 
-34, -63, -29, 48, -2, -46, -9, -92, -112, -112, -112, -82, 
-39, -63, -24, 51, -7, -43, -4, -92, -102, -92, -97, -78, 
-29, -48, -19, 39, -4, -34, -9, -102, -112, -102, -102, -73, 
-29, -48, -19, 39, -4, -34, -4, -87, -102, -102, -102, -82, 
-34, -39, -4, 36, -14, -21, 0, -87, -107, -97, -92, -73, 
-29, -43, -14, 36, -7, -29, 0, -87, -102, -102, -97, -73, 
-24, -39, -14, 31, -4, -26, 0, -82, -97, -102, -87, -68, 
-24, -29, -4, 26, -9, -17, 4, -82, -87, -97, -92, -68, 
-19, -34, -14, 26, -2, -24, 9, -73, -87, -92, -92, -68, 
-14, -19, -4, 17, -4, -12, 9, -73, -92, -87, -92, -58, 
-4, 0, 4, 2, -4, 2, 4, -78, -87, -87, -87, -58, 
-9, -4, 4, 7, -7, 0, 4, -68, -78, -78, -73, -43, 
-4, 0, 4, 2, -4, 2, 4, -73, -82, -78, -78, -48, 
0, 0, 0, 0, 0, 0, 4, -63, -73, -82, -78, -43, 
0, 4, 4, -2, -2, 4, 9, -58, -68, -68, -73, -43, 
4, 9, 4, -7, 0, 7, 4, -58, -58, -73, -73, -48, 
0, 4, 4, -2, -2, 4, 0, -53, -58, -78, -68, -43, 
4, 19, 14, -12, -4, 17, 4, -48, -58, -78, -78, -43, 
-4, 24, 29, -9, -17, 26, 4, -53, -63, -68, -68, -43, 
4, 19, 14, -12, -4, 17, 0, -39, -63, -63, -78, -43, 
0, 24, 24, -12, -12, 24, -14, -48, -63, -73, -73, -48, 
-4, 4, 9, 0, -7, 7, -14, -68, -78, -82, -78, -48, 
-9, 0, 9, 4, -9, 4, -14, -68, -78, -82, -82, -48, 
-4, 0, 4, 2, -4, 2, -19, -73, -82, -92, -82, -48, 
4, -4, -9, 0, 7, -7, -19, -73, -82, -82, -78, -43, 
9, 4, -4, -7, 7, 0, -39, -68, -73, -78, -68, -43, 
0, 0, 0, 0, 0, 0, -43, -73, -73, -78, -78, -39, 
4, -9, -14, 2, 9, -12, -43, -63, -68, -73, -63, -39, 
9, -4, -14, -2, 12, -9, -48, -73, -78, -73, -68, -39, 
14, -14, -29, 0, 21, -21, -58, -73, -87, -82, -82, -48, 
9, -19, -29, 4, 19, -24, -63, -78, -92, -97, -87, -48, 
9, -29, -39, 9, 24, -34, -68, -78, -97, -92, -78, -43, 
24, -14, -39, -4, 31, -26, -68, -97, -97, -92, -82, -39, 
19, -9, -29, -4, 24, -19, -58, -92, -92, -82, -82, -29, 
29, -4, -34, -12, 31, -19, -58, -92, -97, -82, -73, -29, 
29, -14, -43, -7, 36, -29, -73, -117, -112, -102, -92, -48, 
14, -48, -63, 17, 39, -56, -78, -117, -122, -112, -102, -48, 
14, -53, -68, 19, 41, -61, -68, -112, -126, -122, -102, -58, 
19, -43, -63, 12, 41, -53, -68, -122, -131, -126, -102, -63, 
19, -39, -58, 9, 39, -48, -63, -122, -126, -122, -97, -53, 
19, -34, -53, 7, 36, -43, -63, -117, -122, -117, -97, -48, 
19, -43, -63, 12, 41, -53, -68, -117, -126, -122, -102, -53, 
14, -39, -53, 12, 34, -46, -53, -117, -126, -117, -102, -63, 
9, -39, -48, 14, 29, -43, -58, -122, -122, -126, -107, -53, 
-4, -43, -39, 24, 17, -41, -53, -117, -126, -122, -112, -53, 
-19, -48, -29, 34, 4, -39, -53, -117, -117, -126, -107, -53, 
-19, -63, -43, 41, 12, -53, -43, -107, -122, -122, -107, -63, 
-29, -63, -34, 46, 2, -48, -34, -112, -122, -126, -117, -63, 
-43, -63, -19, 53, -12, -41, -34, -107, -126, -126, -117, -63, 
-48, -68, -19, 58, -14, -43, -19, -97, -117, -117, -112, -58, 
-48, -68, -19, 58, -14, -43, -19, -102, -112, -117, -117, -63, 
-48, -73, -24, 61, -12, -48, -19, -102, -117, -122, -122, -68, 
-48, -78, -29, 63, -9, -53, -19, -102, -122, -126, -126, -73, 
-53, -82, -29, 68, -12, -56, -24, -97, -126, -126, -117, -73, 
-48, -78, -29, 63, -9, -53, -24, -102, -131, -131, -126, -68, 
-48, -82, -34, 65, -7, -58, -19, -97, -126, -136, -131, -73, 
-48, -97, -48, 73, 0, -73, -24, -112, -136, -141, -131, -78, 
-48, -102, -53, 75, 2, -78, -29, -112, -136, -151, -141, -92, 
-53, -112, -58, 82, 2, -85, -14, -107, -146, -151, -141, -87, 
-53, -97, -43, 75, -4, -70, -19, -102, -146, -146, -141, -92, 
-58, -107, -48, 82, -4, -78, -19, -102, -136, -151, -141, -82, 
-58, -102, -43, 80, -7, -73, -14, -97, -141, -146, -151, -92, 
-58, -97, -39, 78, -9, -68, -14, -107, -151, -141, -156, -92, 
-53, -102, -48, 78, -2, -75, -24, -107, -151, -161, -156, -92, 
-48, -102, -53, 75, 2, -78, -19, -107, -146, -146, -151, -107, 
-48, -97, -48, 73, 0, -73, -14, -112, -141, -156, -146, -97, 
-43, -102, -58, 73, 7, -80, -24, -107, -141, -151, -151, -97, 
-58, -107, -48, 82, -4, -78, -14, -107, -141, -146, -146, -97, 
-63, -112, -48, 87, -7, -80, -9, -102, -141, -146, -141, -97, 
-58, -112, -53, 85, -2, -82, -9, -97, -151, -151, -146, -97, 
-63, -107, -43, 85, -9, -75, -9, -102, -146, -156, -146, -92, 
-58, -112, -53, 85, -2, -82, -9, -107, -146, -146, -151, -97, 
-68, -112, -43, 90, -12, -78, -9, -102, -146, -141, -151, -102, 
-58, -112, -53, 85, -2, -82, -9, -102, -146, -156, -151, -107, 
-53, -112, -58, 82, 2, -85, -4, -97, -141, -151, -156, -97, 
-48, -102, -53, 75, 2, -78, -4, -107, -141, -156, -156, -97, 
-53, -112, -58, 82, 2, -85, -14, -102, -141, -151, -156, -97, 
-63, -112, -48, 87, -7, -80, -4, -97, -141, -146, -146, -82, 
-58, -107, -48, 82, -4, -78, -4, -92, -146, -151, -151, -82, 
-58, -112, -53, 85, -2, -82, -9, -92, -146, -141, -156, -87, 
-58, -112, -53, 85, -2, -82, -4, -92, -131, -141, -156, -87, 
-68, -107, -39, 87, -14, -73, -9, -92, -131, -141, -151, -82, 
-53, -97, -43, 75, -4, -70, -14, -97, -136, -141, -151, -87, 
-53, -107, -53, 80, 0, -80, -9, -97, -136, -141, -146, -87, 
-53, -107, -53, 80, 0, -80, -4, -97, -146, -146, -156, -92, 
