I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-43, 4, 48, 19, -46, 26, 14, -14, 4, -14, -14, -19, 
-34, 9, 43, 12, -39, 26, 14, -9, 4, -9, -9, -19, 
-34, 9, 43, 12, -39, 26, 14, -9, 4, -9, -9, -19, 
-34, 9, 43, 12, -39, 26, 14, -9, 4, -9, -9, -19, 
-29, 14, 43, 7, -36, 29, 9, -9, 4, -9, -9, -14, 
-29, 14, 43, 7, -36, 29, 9, -9, 9, 0, -9, -14, 
-29, 19, 48, 4, -39, 34, 9, 0, 9, 0, -9, -14, 
-29, 14, 43, 7, -36, 29, 9, -9, 4, 0, 0, -14, 
-34, 14, 48, 9, -41, 31, 9, -9, 4, 0, -9, -14, 
-34, 9, 43, 12, -39, 26, 9, -9, 4, 0, -9, -19, 
-29, 9, 39, 9, -34, 24, 9, -9, 4, 0, -9, -19, 
-34, 9, 43, 12, -39, 26, 9, -9, 4, -9, -9, -19, 
-39, 0, 39, 19, -39, 19, 9, -9, 0, -9, -9, -24, 
-43, 0, 43, 21, -43, 21, 9, -14, 0, -9, -14, -24, 
-43, -9, 34, 26, -39, 12, 9, -14, 0, -19, -19, -24, 
-43, -14, 29, 29, -36, 7, 9, -14, -9, -19, -19, -24, 
-48, -19, 29, 34, -39, 4, 9, -14, -9, -24, -24, -24, 
-48, -19, 29, 34, -39, 4, 9, -14, -9, -24, -24, -29, 
-53, -24, 29, 39, -41, 2, 9, -19, -9, -29, -24, -29, 
-48, -19, 29, 34, -39, 4, 9, -14, -9, -29, -24, -29, 
-39, -14, 24, 26, -31, 4, 9, -14, -9, -24, -24, -29, 
-34, -9, 24, 21, -29, 7, 14, -14, -9, -24, -24, -24, 
-34, -9, 24, 21, -29, 7, 14, -14, -14, -24, -24, -24, 
-34, -9, 24, 21, -29, 7, 9, -14, -14, -29, -24, -24, 
-34, -9, 24, 21, -29, 7, 14, -19, -14, -29, -24, -24, 
-34, -14, 19, 24, -26, 2, 14, -19, -14, -29, -24, -29, 
-34, -14, 19, 24, -26, 2, 14, -19, -14, -29, -29, -29, 
-34, -14, 19, 24, -26, 2, 14, -24, -19, -29, -29, -29, 
-34, -19, 14, 26, -24, -2, 14, -24, -19, -29, -29, -29, 
-39, -19, 19, 29, -29, 0, 14, -24, -19, -29, -29, -29, 
-39, -24, 14, 31, -26, -4, 14, -29, -19, -29, -29, -34, 
-43, -24, 19, 34, -31, -2, 9, -29, -24, -34, -34, -34, 
-43, -29, 14, 36, -29, -7, 9, -34, -24, -34, -34, -34, 
-43, -24, 19, 34, -31, -2, 9, -34, -24, -39, -29, -34, 
-43, -24, 19, 34, -31, -2, 9, -34, -24, -39, -29, -34, 
-39, -19, 19, 29, -29, 0, 9, -34, -24, -39, -29, -34, 
-39, -19, 19, 29, -29, 0, 9, -34, -24, -34, -29, -34, 
-39, -19, 19, 29, -29, 0, 9, -29, -24, -34, -29, -34, 
-34, -19, 14, 26, -24, -2, 9, -29, -24, -34, -29, -29, 
-34, -19, 14, 26, -24, -2, 9, -34, -24, -34, -29, -29, 
-34, -19, 14, 26, -24, -2, 9, -34, -24, -34, -29, -29, 
-34, -19, 14, 26, -24, -2, 9, -34, -24, -34, -24, -29, 
-34, -19, 14, 26, -24, -2, 4, -34, -24, -34, -24, -29, 
-34, -19, 14, 26, -24, -2, 4, -34, -24, -34, -24, -29, 
-34, -19, 14, 26, -24, -2, 4, -39, -24, -34, -24, -29, 
-34, -19, 14, 26, -24, -2, 9, -39, -24, -34, -24, -29, 
-39, -24, 14, 31, -26, -4, 9, -39, -24, -34, -29, -29, 
-39, -29, 9, 34, -24, -9, 9, -39, -24, -39, -29, -34, 
-34, -24, 9, 29, -21, -7, 9, -39, -24, -39, -34, -29, 
-34, -19, 14, 26, -24, -2, 9, -39, -24, -39, -29, -29, 
-24, -9, 14, 17, -19, 2, 14, -34, -24, -34, -24, -24, 
-19, 4, 24, 7, -21, 14, 14, -34, -19, -29, -19, -24, 
-9, 14, 24, -2, -17, 19, 14, -29, -14, -24, -14, -19, 
-9, 24, 34, -7, -21, 29, 9, -29, -14, -24, -14, -19, 
0, 29, 29, -14, -14, 29, 14, -24, -9, -19, -9, -14, 
0, 34, 34, -17, -17, 34, 14, -24, 0, -19, -9, -9, 
0, 39, 39, -19, -19, 39, 14, -24, 0, -14, 0, -9, 
0, 39, 39, -19, -19, 39, 9, -24, 0, -14, 0, -9, 
0, 43, 43, -21, -21, 43, 9, -24, 4, -9, 4, 0, 
0, 48, 48, -24, -24, 48, 9, -19, 4, -9, 9, 0, 
0, 48, 48, -24, -24, 48, 4, -19, 4, 0, 9, 4, 
-9, 48, 58, -19, -34, 53, 4, -24, 4, 0, 9, 4, 
