I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, 58, 68, -24, -39, 63, 58, -87, 9, 0, 58, 19, 
-9, 58, 68, -24, -39, 63, 58, -87, 9, 0, 58, 19, 
-9, 58, 68, -24, -39, 63, 53, -87, 9, 0, 58, 19, 
-9, 53, 63, -21, -36, 58, 53, -87, 9, 0, 58, 24, 
-19, 63, 82, -21, -51, 73, 43, -78, 9, 9, 63, 14, 
-14, 68, 82, -26, -48, 75, 43, -78, 9, 9, 63, 19, 
-9, 73, 82, -31, -46, 78, 43, -73, 19, 14, 68, 19, 
-9, 73, 82, -31, -46, 78, 48, -73, 19, 14, 73, 29, 
-9, 87, 97, -39, -53, 92, 58, -63, 34, 19, 92, 39, 
-9, 97, 107, -43, -58, 102, 63, -63, 43, 29, 92, 39, 
-9, 107, 117, -48, -63, 112, 68, -58, 48, 39, 97, 43, 
-4, 126, 131, -61, -68, 129, 73, -53, 53, 53, 102, 43, 
4, 131, 126, -68, -61, 129, 82, -58, 68, 58, 112, 58, 
4, 136, 131, -70, -63, 134, 82, -58, 68, 63, 112, 58, 
4, 141, 136, -73, -65, 139, 78, -48, 68, 63, 112, 58, 
14, 151, 136, -82, -61, 143, 78, -48, 78, 63, 117, 58, 
14, 156, 141, -85, -63, 148, 78, -43, 87, 78, 122, 73, 
14, 161, 146, -87, -65, 153, 78, -43, 87, 78, 122, 73, 
14, 165, 151, -90, -68, 158, 78, -39, 87, 78, 122, 78, 
14, 165, 151, -90, -68, 158, 82, -34, 87, 78, 122, 78, 
4, 156, 151, -80, -73, 153, 78, -39, 87, 68, 131, 73, 
9, 156, 146, -82, -68, 151, 78, -39, 87, 63, 126, 73, 
9, 156, 146, -82, -68, 151, 68, -43, 87, 63, 126, 68, 
4, 151, 146, -78, -70, 148, 53, -48, 82, 63, 122, 68, 
4, 146, 141, -75, -68, 143, 53, -68, 68, 63, 112, 58, 
4, 146, 141, -75, -68, 143, 53, -73, 58, 53, 107, 58, 
4, 141, 136, -73, -65, 139, 43, -82, 53, 48, 102, 48, 
4, 131, 126, -68, -61, 129, 39, -87, 53, 43, 102, 43, 
0, 122, 122, -61, -61, 122, 48, -92, 43, 39, 102, 53, 
0, 112, 112, -56, -56, 112, 43, -92, 43, 34, 97, 48, 
-4, 112, 117, -53, -61, 114, 43, -102, 43, 29, 82, 43, 
-9, 112, 122, -51, -65, 117, 39, -102, 39, 24, 78, 39, 
0, 122, 122, -61, -61, 122, 29, -97, 48, 34, 87, 48, 
0, 126, 126, -63, -63, 126, 29, -92, 48, 39, 82, 48, 
0, 131, 131, -65, -65, 131, 29, -87, 43, 39, 82, 43, 
-4, 141, 146, -68, -75, 143, 29, -92, 43, 39, 82, 39, 
4, 126, 122, -65, -58, 124, 24, -92, 29, 29, 92, 39, 
0, 122, 122, -61, -61, 122, 19, -92, 24, 24, 87, 39, 
0, 112, 112, -56, -56, 112, 19, -92, 24, 19, 82, 39, 
0, 102, 102, -51, -51, 102, 19, -92, 19, 19, 82, 34, 
4, 92, 87, -48, -41, 90, 24, -82, 14, 9, 73, 24, 
9, 87, 78, -48, -34, 82, 29, -78, 14, 4, 68, 24, 
14, 82, 68, -48, -26, 75, 34, -73, 9, 0, 63, 14, 
19, 73, 53, -46, -17, 63, 39, -73, 9, -4, 53, 14, 
4, 53, 48, -29, -21, 51, 43, -82, 4, -19, 53, 4, 
0, 48, 48, -24, -24, 48, 43, -78, 0, -19, 53, 4, 
-4, 43, 48, -19, -26, 46, 43, -78, -4, -19, 58, 4, 
-9, 39, 48, -14, -29, 43, 43, -78, -14, -19, 58, 9, 
0, 29, 29, -14, -14, 29, 53, -78, -14, -19, 48, 0, 
0, 29, 29, -14, -14, 29, 53, -78, -14, -19, 48, 0, 
0, 29, 29, -14, -14, 29, 48, -78, -14, -19, 48, 0, 
0, 29, 29, -14, -14, 29, 48, -82, -14, -19, 48, -4, 
0, 39, 39, -19, -19, 39, 48, -82, -24, -29, 34, -4, 
4, 48, 43, -26, -19, 46, 53, -82, -24, -29, 34, -4, 
4, 48, 43, -26, -19, 46, 53, -82, -19, -24, 34, 0, 
4, 48, 43, -26, -19, 46, 53, -78, -19, -24, 39, 0, 
4, 39, 34, -21, -14, 36, 39, -87, -19, -34, 48, -9, 
4, 39, 34, -21, -14, 36, 39, -87, -19, -34, 48, -9, 
0, 39, 39, -19, -19, 39, 48, -87, -19, -34, 43, -9, 
-9, 39, 48, -14, -29, 43, 48, -87, -19, -34, 43, -9, 
0, 29, 29, -14, -14, 29, 43, -87, -29, -24, 34, -14, 
0, 29, 29, -14, -14, 29, 34, -82, -29, -24, 39, -14, 
0, 29, 29, -14, -14, 29, 29, -78, -29, -24, 39, -14, 
0, 24, 24, -12, -12, 24, 24, -73, -29, -24, 39, -19, 
4, 24, 19, -14, -7, 21, 34, -73, -29, -24, 39, -9, 
4, 29, 24, -17, -9, 26, 34, -73, -29, -24, 39, -9, 
9, 29, 19, -19, -4, 24, 34, -73, -29, -24, 39, -4, 
14, 43, 29, -29, -7, 36, 34, -73, -29, -24, 39, -4, 
9, 43, 34, -26, -12, 39, 48, -68, -19, -24, 48, -4, 
4, 43, 39, -24, -17, 41, 53, -68, -9, -19, 48, 0, 
0, 43, 43, -21, -21, 43, 68, -68, -9, -19, 53, 0, 
0, 53, 53, -26, -26, 53, 73, -68, -9, -14, 53, 0, 
0, 43, 43, -21, -21, 43, 68, -68, -9, -14, 43, 0, 
-4, 43, 48, -19, -26, 46, 68, -68, -9, -14, 43, 0, 
