I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-14, 107, 122, -46, -68, 114, 122, -136, -248, 175, -48, -78, 
-19, 97, 117, -39, -68, 107, 131, -136, -248, 170, -48, -78, 
-24, 92, 117, -34, -70, 104, 136, -136, -248, 170, -53, -82, 
-34, 78, 112, -21, -73, 95, 141, -136, -258, 165, -58, -82, 
-53, 73, 126, -9, -90, 100, 136, -146, -258, 161, -73, -102, 
-58, 73, 131, -7, -95, 102, 136, -146, -258, 161, -73, -112, 
-63, 73, 136, -4, -100, 104, 136, -151, -258, 161, -73, -117, 
-68, 68, 136, 0, -102, 102, 136, -151, -258, 161, -73, -122, 
-78, 68, 146, 4, -112, 107, 136, -146, -258, 161, -73, -117, 
-82, 58, 141, 12, -112, 100, 136, -146, -263, 151, -78, -131, 
-82, 58, 141, 12, -112, 100, 136, -146, -268, 151, -82, -131, 
-82, 58, 141, 12, -112, 100, 136, -146, -268, 151, -82, -131, 
-73, 58, 131, 7, -102, 95, 136, -161, -268, 156, -73, -117, 
-73, 58, 131, 7, -102, 95, 136, -161, -268, 156, -73, -117, 
-68, 58, 126, 4, -97, 92, 136, -156, -273, 151, -73, -122, 
-68, 53, 122, 7, -95, 87, 136, -156, -273, 151, -73, -122, 
-68, 58, 126, 4, -97, 92, 136, -161, -273, 151, -87, -126, 
-68, 58, 126, 4, -97, 92, 136, -161, -273, 151, -92, -141, 
-68, 63, 131, 2, -100, 97, 131, -161, -273, 151, -92, -146, 
-68, 63, 131, 2, -100, 97, 131, -161, -278, 146, -92, -151, 
-73, 63, 136, 4, -104, 100, 126, -165, -278, 146, -97, -141, 
-73, 63, 136, 4, -104, 100, 126, -170, -278, 146, -97, -136, 
-78, 58, 136, 9, -107, 97, 131, -170, -273, 151, -92, -136, 
-82, 53, 136, 14, -109, 95, 131, -170, -273, 156, -92, -136, 
-82, 53, 136, 14, -109, 95, 131, -170, -273, 146, -92, -136, 
-82, 53, 136, 14, -109, 95, 131, -170, -273, 136, -92, -141, 
-87, 53, 141, 17, -114, 97, 131, -165, -273, 136, -92, -141, 
-87, 53, 141, 17, -114, 97, 131, -165, -268, 141, -92, -141, 
-92, 53, 146, 19, -119, 100, 141, -165, -268, 141, -97, -141, 
-92, 53, 146, 19, -119, 100, 141, -165, -268, 141, -97, -141, 
-92, 53, 146, 19, -119, 100, 136, -165, -268, 141, -102, -141, 
-92, 53, 146, 19, -119, 100, 136, -170, -268, 141, -102, -141, 
-92, 48, 141, 21, -117, 95, 136, -175, -268, 151, -92, -136, 
-92, 48, 141, 21, -117, 95, 136, -175, -268, 151, -92, -136, 
-92, 48, 141, 21, -117, 95, 136, -175, -268, 151, -97, -136, 
-92, 48, 141, 21, -117, 95, 136, -170, -268, 151, -97, -136, 
-92, 48, 141, 21, -117, 95, 126, -180, -268, 141, -97, -146, 
-92, 48, 141, 21, -117, 95, 126, -180, -268, 141, -97, -141, 
-92, 48, 141, 21, -117, 95, 126, -180, -268, 141, -92, -141, 
-92, 48, 141, 21, -117, 95, 131, -190, -268, 141, -92, -141, 
-92, 48, 141, 21, -117, 95, 122, -180, -258, 151, -82, -136, 
-92, 48, 141, 21, -117, 95, 122, -180, -258, 151, -82, -131, 
-92, 48, 141, 21, -117, 95, 122, -180, -258, 151, -82, -126, 
-92, 48, 141, 21, -117, 95, 122, -175, -258, 151, -82, -122, 
-82, 58, 141, 12, -112, 100, 131, -185, -258, 151, -73, -131, 
-82, 58, 141, 12, -112, 100, 131, -185, -258, 151, -73, -131, 
-82, 63, 146, 9, -114, 104, 131, -190, -258, 151, -73, -131, 
-87, 63, 151, 12, -119, 107, 131, -190, -258, 156, -68, -131, 
-87, 53, 141, 17, -114, 97, 131, -200, -268, 156, -78, -136, 
