I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-146, -517, -370, 331, 112, -444, -917, -39, -58, 273, -224, -117, 
-146, -517, -370, 331, 112, -444, -917, -39, -58, 273, -224, -117, 
-146, -517, -370, 331, 112, -444, -917, -39, -58, 273, -224, -117, 
-146, -517, -370, 331, 112, -444, -917, -39, -58, 273, -224, -117, 
-161, -517, -356, 339, 97, -436, -941, -53, -73, 268, -214, -112, 
-165, -517, -351, 341, 92, -434, -956, -68, -78, 263, -214, -107, 
-170, -517, -346, 344, 87, -431, -971, -82, -82, 258, -214, -102, 
-175, -517, -341, 346, 82, -429, -985, -97, -87, 253, -214, -97, 
-165, -517, -351, 341, 92, -434, -1005, -107, -122, 244, -224, -97, 
-165, -517, -351, 341, 92, -434, -1024, -117, -146, 234, -224, -97, 
-165, -517, -351, 341, 92, -434, -1044, -126, -170, 224, -224, -97, 
-165, -517, -351, 341, 92, -434, -1063, -136, -195, 214, -224, -97, 
-165, -507, -341, 336, 87, -424, -1063, -131, -200, 229, -224, -87, 
-165, -507, -341, 336, 87, -424, -1063, -126, -204, 234, -224, -87, 
-165, -507, -341, 336, 87, -424, -1063, -122, -209, 239, -224, -87, 
-165, -507, -341, 336, 87, -424, -1063, -117, -214, 244, -224, -87, 
-180, -512, -331, 346, 75, -422, -1073, -126, -214, 234, -214, -78, 
-185, -517, -331, 351, 73, -424, -1073, -136, -214, 224, -214, -78, 
-190, -522, -331, 356, 70, -427, -1073, -146, -214, 214, -214, -78, 
-185, -527, -341, 356, 78, -434, -1073, -156, -214, 200, -214, -78, 
-151, -497, -346, 324, 97, -422, -1073, -151, -200, 200, -209, -63, 
-126, -463, -336, 295, 104, -400, -1073, -151, -190, 200, -200, -58, 
-107, -424, -317, 265, 104, -370, -1073, -146, -180, 204, -185, -43, 
-78, -400, -322, 239, 122, -361, -1073, -146, -161, 204, -175, -39, 
-112, -429, -317, 270, 102, -373, -1083, -151, -170, 195, -165, -53, 
