I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
419, -39, -458, -190, 439, -248, -19, 48, 107, -87, -68, -146, 
419, -39, -458, -190, 439, -248, -19, 48, 107, -87, -68, -146, 
419, -39, -458, -190, 439, -248, -19, 48, 107, -87, -68, -146, 
419, -39, -458, -190, 439, -248, -19, 48, 107, -87, -68, -146, 
419, -39, -458, -190, 439, -248, -29, 39, 97, -87, -58, -146, 
419, -39, -458, -190, 439, -248, -29, 39, 97, -87, -58, -146, 
419, -39, -458, -190, 439, -248, -29, 39, 97, -87, -58, -146, 
419, -39, -458, -190, 439, -248, -29, 39, 97, -87, -58, -146, 
429, -29, -458, -200, 444, -244, -29, 48, 107, -78, -58, -136, 
429, -29, -458, -200, 444, -244, -29, 48, 107, -78, -58, -136, 
429, -29, -458, -200, 444, -244, -29, 48, 107, -78, -58, -136, 
429, -29, -458, -200, 444, -244, -29, 48, 107, -78, -58, -136, 
439, -19, -458, -209, 448, -239, -29, 48, 107, -68, -48, -136, 
439, -19, -458, -209, 448, -239, -29, 48, 107, -68, -48, -136, 
439, -19, -458, -209, 448, -239, -29, 48, 107, -68, -48, -136, 
439, -19, -458, -209, 448, -239, -29, 48, 107, -68, -48, -136, 
448, -9, -458, -219, 453, -234, -39, 48, 107, -58, -39, -126, 
448, -9, -458, -219, 453, -234, -39, 48, 107, -58, -39, -126, 
448, -9, -458, -219, 453, -234, -39, 48, 107, -58, -39, -126, 
448, -9, -458, -219, 453, -234, -39, 48, 107, -58, -39, -126, 
448, 0, -448, -224, 448, -224, -48, 48, 107, -53, -34, -126, 
448, 0, -448, -224, 448, -224, -48, 48, 107, -48, -29, -126, 
448, 0, -448, -224, 448, -224, -48, 48, 107, -43, -24, -126, 
448, 0, -448, -224, 448, -224, -48, 48, 107, -39, -19, -126, 
458, 9, -448, -234, 453, -219, -48, 48, 107, -39, -19, -122, 
458, 9, -448, -234, 453, -219, -48, 48, 107, -39, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 48, 107, -39, -19, -112, 
458, 9, -448, -234, 453, -219, -48, 48, 107, -39, -19, -107, 
468, 14, -453, -241, 461, -219, -58, 39, 117, -29, -9, -97, 
468, 19, -448, -244, 458, -214, -58, 39, 117, -29, -9, -97, 
468, 24, -444, -246, 456, -209, -58, 39, 117, -29, -9, -97, 
468, 29, -439, -248, 453, -204, -58, 39, 117, -29, -9, -97, 
468, 39, -429, -253, 448, -195, -68, 39, 107, -24, -4, -97, 
468, 39, -429, -253, 448, -195, -68, 39, 107, -19, 0, -97, 
468, 39, -429, -253, 448, -195, -68, 39, 107, -14, 4, -97, 
468, 39, -429, -253, 448, -195, -68, 39, 107, -9, 9, -97, 
478, 43, -434, -261, 456, -195, -78, 29, 97, -19, 9, -87, 
478, 48, -429, -263, 453, -190, -78, 29, 97, -19, 9, -87, 
478, 53, -424, -265, 451, -185, -78, 29, 97, -19, 9, -87, 
478, 58, -419, -268, 448, -180, -78, 29, 97, -19, 9, -87, 
478, 68, -409, -273, 444, -170, -78, 29, 97, -9, 9, -78, 
478, 68, -409, -273, 444, -170, -78, 29, 97, -9, 9, -78, 
478, 68, -409, -273, 444, -170, -78, 29, 97, -9, 9, -78, 
478, 68, -409, -273, 444, -170, -78, 29, 97, -9, 9, -78, 
488, 78, -409, -283, 448, -165, -87, 19, 97, 0, 19, -68, 
488, 78, -409, -283, 448, -165, -87, 19, 97, 0, 19, -68, 
488, 78, -409, -283, 448, -165, -87, 19, 97, 0, 19, -68, 
488, 78, -409, -283, 448, -165, -87, 19, 97, 0, 19, -68, 
488, 82, -405, -285, 446, -161, -87, 9, 97, 0, 19, -58, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 0, 19, -58, 
488, 92, -395, -290, 441, -151, -87, 9, 97, 0, 19, -58, 
488, 97, -390, -292, 439, -146, -87, 9, 97, 0, 19, -58, 
488, 97, -390, -292, 439, -146, -97, 9, 97, 9, 24, -58, 
488, 97, -390, -292, 439, -146, -97, 9, 97, 9, 29, -58, 
488, 97, -390, -292, 439, -146, -97, 9, 97, 9, 34, -58, 
488, 97, -390, -292, 439, -146, -97, 9, 97, 9, 39, -58, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 39, -48, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 39, -48, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 39, -48, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 39, -48, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 29, -58, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 29, -58, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 29, -58, 
488, 87, -400, -287, 444, -156, -87, 9, 97, 9, 29, -58, 
478, 82, -395, -280, 436, -156, -87, 9, 87, 4, 29, -68, 
478, 78, -400, -278, 439, -161, -87, 9, 87, 0, 29, -68, 
478, 73, -405, -275, 441, -165, -87, 9, 87, -4, 29, -68, 
478, 68, -409, -273, 444, -170, -87, 9, 87, -9, 29, -68, 
473, 53, -419, -263, 446, -183, -82, 0, 97, -19, 24, -78, 
468, 48, -419, -258, 444, -185, -78, 0, 97, -19, 19, -78, 
463, 43, -419, -253, 441, -187, -73, 0, 97, -19, 14, -78, 
458, 39, -419, -248, 439, -190, -68, 0, 97, -19, 9, -78, 
458, 39, -419, -248, 439, -190, -68, 9, 87, -24, 4, -82, 
458, 39, -419, -248, 439, -190, -68, 9, 87, -29, 0, -87, 
458, 39, -419, -248, 439, -190, -68, 9, 87, -34, -4, -92, 
458, 39, -419, -248, 439, -190, -68, 9, 87, -39, -9, -97, 
458, 29, -429, -244, 444, -200, -58, 19, 78, -39, -9, -107, 
458, 29, -429, -244, 444, -200, -58, 19, 78, -39, -9, -107, 
458, 29, -429, -244, 444, -200, -58, 19, 78, -39, -9, -107, 
458, 29, -429, -244, 444, -200, -58, 19, 78, -39, -9, -107, 
458, 24, -434, -241, 446, -204, -48, 19, 78, -48, -19, -117, 
458, 19, -439, -239, 448, -209, -48, 19, 78, -48, -19, -117, 
458, 14, -444, -236, 451, -214, -48, 19, 78, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 19, 78, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 78, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 78, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 78, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 78, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 19, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 19, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 19, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 19, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 9, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 9, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 9, 68, -58, -29, -117, 
458, 0, -458, -229, 458, -229, -48, 9, 68, -58, -29, -117, 
448, 0, -448, -224, 448, -224, -48, 9, 68, -58, -29, -117, 
448, 0, -448, -224, 448, -224, -48, 9, 68, -58, -29, -117, 
448, 0, -448, -224, 448, -224, -48, 9, 68, -58, -29, -117, 
448, 0, -448, -224, 448, -224, -48, 9, 68, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -58, 9, 58, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -58, 9, 58, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -58, 9, 58, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -58, 9, 58, -58, -29, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 58, -58, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 58, -58, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 58, -58, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 58, -58, -19, -117, 
458, 19, -439, -239, 448, -209, -48, 9, 68, -48, -29, -117, 
458, 19, -439, -239, 448, -209, -48, 9, 68, -48, -29, -117, 
458, 19, -439, -239, 448, -209, -48, 9, 68, -48, -29, -117, 
458, 19, -439, -239, 448, -209, -48, 9, 68, -48, -29, -117, 
458, 19, -439, -239, 448, -209, -58, 9, 68, -48, -19, -117, 
458, 19, -439, -239, 448, -209, -58, 9, 68, -48, -19, -117, 
458, 19, -439, -239, 448, -209, -58, 9, 68, -48, -19, -117, 
458, 19, -439, -239, 448, -209, -58, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
458, 9, -448, -234, 453, -219, -48, 9, 68, -48, -19, -117, 
468, 19, -448, -244, 458, -214, -48, 9, 68, -39, -9, -117, 
468, 19, -448, -244, 458, -214, -48, 9, 68, -39, -9, -117, 
468, 19, -448, -244, 458, -214, -48, 9, 68, -39, -9, -117, 
468, 19, -448, -244, 458, -214, -48, 9, 68, -39, -9, -117, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -39, -9, -117, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -39, -9, -117, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -39, -9, -117, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -39, -9, -117, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -29, -9, -107, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -29, -9, -107, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -29, -9, -107, 
478, 19, -458, -248, 468, -219, -58, 9, 68, -29, -9, -107, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -58, 9, 58, -39, -9, -117, 
488, 19, -468, -253, 478, -224, -48, 19, 58, -39, -19, -117, 
488, 19, -468, -253, 478, -224, -48, 19, 58, -39, -19, -117, 
488, 19, -468, -253, 478, -224, -48, 19, 58, -39, -19, -117, 
488, 19, -468, -253, 478, -224, -48, 19, 58, -39, -19, -117, 
488, 9, -478, -248, 483, -234, -48, 9, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -48, 9, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -48, 9, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -48, 9, 48, -39, -19, -126, 
488, 19, -468, -253, 478, -224, -48, 9, 48, -39, -19, -126, 
488, 19, -468, -253, 478, -224, -48, 9, 48, -39, -19, -126, 
488, 19, -468, -253, 478, -224, -48, 9, 48, -39, -19, -126, 
488, 19, -468, -253, 478, -224, -48, 9, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 19, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 19, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 19, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 19, 48, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -39, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -48, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -48, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -48, -19, -126, 
488, 9, -478, -248, 483, -234, -58, 9, 39, -48, -19, -126, 
492, 9, -483, -251, 488, -236, -58, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -58, 9, 39, -48, -19, -136, 
502, 9, -492, -256, 497, -241, -58, 9, 39, -48, -19, -136, 
507, 9, -497, -258, 502, -244, -58, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 19, 39, -48, -19, -126, 
497, 9, -488, -253, 492, -239, -48, 19, 39, -48, -19, -126, 
497, 9, -488, -253, 492, -239, -48, 19, 39, -48, -19, -126, 
497, 9, -488, -253, 492, -239, -48, 19, 39, -48, -19, -126, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
497, 9, -488, -253, 492, -239, -48, 9, 39, -48, -19, -136, 
507, 19, -488, -263, 497, -234, -58, 9, 39, -48, -19, -136, 
507, 19, -488, -263, 497, -234, -58, 9, 39, -48, -19, -136, 
507, 19, -488, -263, 497, -234, -58, 9, 39, -48, -19, -136, 
507, 19, -488, -263, 497, -234, -58, 9, 39, -48, -19, -136, 
517, 29, -488, -273, 502, -229, -58, 19, 53, -43, -4, -122, 
517, 39, -478, -278, 497, -219, -58, 19, 58, -39, 0, -117, 
517, 48, -468, -283, 492, -209, -58, 19, 63, -34, 4, -112, 
517, 58, -458, -287, 488, -200, -58, 19, 68, -29, 9, -107, 
517, 68, -448, -292, 483, -190, -68, 9, 78, -24, 14, -107, 
517, 68, -448, -292, 483, -190, -68, 14, 82, -19, 19, -97, 
522, 73, -448, -297, 485, -187, -68, 14, 82, -9, 24, -97, 
522, 78, -444, -300, 483, -183, -73, 14, 82, 0, 29, -97, 
522, 87, -434, -305, 478, -173, -73, 14, 87, 9, 24, -97, 
527, 87, -439, -307, 483, -175, -73, 14, 87, 4, 24, -97, 
531, 87, -444, -309, 488, -178, -78, 14, 82, 4, 24, -97, 
541, 82, -458, -312, 500, -187, -78, 14, 82, 9, 24, -97, 
541, 82, -458, -312, 500, -187, -82, 14, 82, 0, 34, -97, 
541, 82, -458, -312, 500, -187, -87, 14, 82, 4, 39, -97, 
546, 82, -463, -314, 505, -190, -87, 9, 78, 4, 39, -87, 
546, 87, -458, -317, 502, -185, -92, 0, 78, 9, 43, -87, 
546, 102, -444, -324, 495, -170, -97, 0, 78, 19, 34, -82, 
546, 107, -439, -326, 492, -165, -97, 0, 78, 19, 34, -82, 
546, 107, -439, -326, 492, -165, -97, -9, 73, 19, 39, -82, 
551, 112, -439, -331, 495, -163, -97, -9, 63, 19, 43, -78, 
551, 122, -429, -336, 490, -153, -107, -9, 63, 24, 53, -68, 
546, 122, -424, -334, 485, -151, -107, -9, 63, 19, 43, -78, 
546, 107, -439, -326, 492, -165, -107, -9, 58, 14, 39, -78, 
546, 102, -444, -324, 495, -170, -102, -9, 53, 9, 34, -82, 
551, 82, -468, -317, 509, -192, -102, -4, 39, 0, 24, -92, 
551, 73, -478, -312, 514, -202, -102, -4, 34, -4, 14, -97, 
551, 68, -483, -309, 517, -207, -102, -4, 29, -9, 14, -107, 
551, 68, -483, -309, 517, -207, -102, -9, 24, -9, 14, -112, 
536, 58, -478, -297, 507, -209, -97, -24, 19, -14, 4, -107, 
536, 68, -468, -302, 502, -200, -97, -24, 9, -14, 4, -107, 
536, 68, -468, -302, 502, -200, -97, -29, 4, -14, 9, -107, 
536, 73, -463, -305, 500, -195, -97, -29, 0, -14, 9, -107, 
536, 82, -453, -309, 495, -185, -97, -29, 0, -24, 9, -107, 
541, 82, -458, -312, 500, -187, -97, -29, 4, -29, 9, -107, 
541, 82, -458, -312, 500, -187, -92, -24, 9, -29, 9, -107, 
541, 82, -458, -312, 500, -187, -92, -19, 9, -29, 9, -107, 
551, 73, -478, -312, 514, -202, -87, -19, 9, -19, 9, -107, 
551, 73, -478, -312, 514, -202, -82, -14, 9, -24, 4, -107, 
